nh4,no3,po4,so,thetao,chl_t-1,nh4_t-1,no3_t-1,po4_t-1,so_t-1,thetao_t-1,chl_7day_avg,nh4_7day_avg,no3_7day_avg,po4_7day_avg,so_7day_avg,thetao_7day_avg,n_p_ratio,n_nh4_ratio,p_nh4_ratio,chl_monthly_median,chl_anomaly,bloom_proxy_label
0.025646007,0.024071474,0.005025635,39.091415,16.019192,0.14932798,0.025955515,0.025731837,0.0050965087,39.08865,16.000723,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,4.7897377,0.9386051,0.1959617,0.2444586455821991,-0.007484264671802521,0
0.02074447,0.015016194,0.0045495555,39.093594,16.016397,0.16690172,0.02101304,0.016254866,0.004604211,39.090137,15.99704,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,3.300585,0.7238649,0.21931413,0.2444586455821991,-0.007484264671802521,0
0.0147634605,0.006765789,0.0039305035,39.084347,15.993102,0.19824895,0.01486151,0.007113032,0.0039471737,39.08196,15.974931,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,1.7213542,0.45827934,0.26623186,0.2444586455821991,-0.007484264671802521,0
0.011848598,0.0042019184,0.0035813819,39.07533,15.987222,0.2243399,0.011735842,0.0039122035,0.0035676605,39.073257,15.94745,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,1.1732674,0.35463423,0.3022621,0.2444586455821991,-0.007484264671802521,0
0.010874473,0.0044078706,0.0034042636,39.046978,15.929545,0.2461758,0.010581552,0.0039410256,0.0033738934,39.038937,15.862204,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,1.2948089,0.4053411,0.31305093,0.2444586455821991,-0.007484264671802521,0
0.01165772,0.007217225,0.0034118462,39.01002,15.855442,0.260706,0.011272354,0.0069246204,0.0033850898,39.002205,15.789253,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,2.115343,0.619094,0.29266837,0.2444586455821991,-0.007484264671802521,0
0.013294134,0.011216475,0.0035272918,38.995586,15.821671,0.26719224,0.0128991585,0.011302352,0.0035188792,38.98853,15.765996,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,3.1799111,0.8437161,0.26532692,0.2444586455821991,-0.007484264671802521,0
0.0124938935,0.0116584245,0.0043883203,38.965935,15.95059,0.2660054,0.012691882,0.011990691,0.004452503,38.96444,15.952816,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,2.91576,0.90542173,0.29629987,0.2444586455821991,-0.007484264671802521,0
0.0124938935,0.0116584245,0.0043883203,38.965935,15.95059,0.2660054,0.012691882,0.011990691,0.004452503,38.96444,15.952816,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,2.91576,0.90542173,0.29629987,0.2444586455821991,-0.007484264671802521,0
0.0124938935,0.0116584245,0.0043883203,38.965935,15.95059,0.2660054,0.012691882,0.011990691,0.004452503,38.96444,15.952816,0.27661332913807457,0.018549375818111002,0.019741268737236948,0.004577438280518566,38.960928508213584,15.96844278063093,2.91576,0.90542173,0.29629987,0.2444586455821991,-0.007484264671802521,0
