nh4,no3,po4,so,thetao,chl_t-1,nh4_t-1,no3_t-1,po4_t-1,so_t-1,thetao_t-1,chl_7day_avg,nh4_7day_avg,no3_7day_avg,po4_7day_avg,so_7day_avg,thetao_7day_avg,n_p_ratio,n_nh4_ratio,p_nh4_ratio,chl_monthly_median,chl_anomaly,bloom_proxy_label
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.072464556,0.45851815,0.005633689,39.604984,23.240826,0.042595513,0.071332425,0.4374833,0.0055546863,39.617123,23.205288,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,81.38862,6.3274817,0.07774407,0.037266013212502,-0.0006423499435186386,0
0.072341084,0.45798624,0.0056249867,39.59595,23.255104,0.042042367,0.07160089,0.44133916,0.005567786,39.599236,23.174915,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,81.41997,6.3309283,0.077756464,0.037266013212502,-0.0006423499435186386,0
0.07199365,0.45478562,0.00559928,39.59823,23.299908,0.04188458,0.07171867,0.44333795,0.0055656577,39.59444,23.200462,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,81.22216,6.317024,0.07777464,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.071716346,0.44750106,0.0055781114,39.62183,23.260607,0.04485327,0.069942914,0.42446983,0.0054654786,39.64744,23.425098,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,80.22448,6.2398753,0.077780195,0.037266013212502,-0.0006423499435186386,0
0.07132573,0.44532672,0.0055559403,39.61009,23.245844,0.04479424,0.06975758,0.42530918,0.005455289,39.633236,23.34483,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,80.15326,6.2435637,0.07789532,0.037266013212502,-0.0006423499435186386,0
0.07115453,0.44438905,0.0055424576,39.604507,23.251799,0.044567846,0.06984308,0.42731538,0.005454311,39.619305,23.27341,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,80.17906,6.245408,0.07789325,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.06969314,0.43090585,0.0054558697,39.651737,23.448595,0.047065496,0.06781944,0.41332585,0.0053457203,39.668518,23.610283,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,78.98023,6.182902,0.078284174,0.037266013212502,-0.0006423499435186386,0
0.06976339,0.43164676,0.0054558227,39.640236,23.38687,0.046862908,0.067956634,0.41481093,0.0053486675,39.660385,23.546432,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,79.116714,6.187296,0.07820466,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.070951335,0.3978876,0.0055970554,39.715267,24.97833,0.038642332,0.07092742,0.3978486,0.0055979555,39.715637,24.992397,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,70.92433,5.6357794,0.078718685,0.037266013212502,-0.0006423499435186386,0
0.072464556,0.4585162,0.00563366,39.60457,23.231375,0.0406995,0.072464556,0.45851815,0.005633689,39.604984,23.240826,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,81.38869,6.327455,0.077743664,0.037266013212502,-0.0006423499435186386,0
0.07234107,0.4579843,0.005624958,39.595818,23.251982,0.040664427,0.072341084,0.45798624,0.0056249867,39.59595,23.255104,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,81.420044,6.330903,0.07775608,0.037266013212502,-0.0006423499435186386,0
0.07199365,0.45478383,0.0055992515,39.597862,23.29376,0.041001074,0.07199365,0.45478562,0.00559928,39.59823,23.299908,0.0383159409144095,0.07115337092961584,0.39785802151475635,0.005622576090640255,39.72080530439104,25.057169641767228,81.22225,6.3169994,0.07777424,0.037266013212502,-0.0006423499435186386,0
