depth,latitude,longitude,time,chl
1.0182366,37.854168,23.458334,2025-12-31,0.18755358
1.0182366,37.854168,23.458334,2026-01-01,0.18099864
1.0182366,37.854168,23.458334,2026-01-02,0.17523418
1.0182366,37.854168,23.458334,2026-01-03,0.16957334
1.0182366,37.854168,23.458334,2026-01-04,0.16368231
1.0182366,37.854168,23.458334,2026-01-05,0.18411581
1.0182366,37.854168,23.458334,2026-01-06,0.20029409
1.0182366,37.854168,23.458334,2026-01-07,0.19418254
1.0182366,37.854168,23.458334,2026-01-08,0.19085695
1.0182366,37.854168,23.458334,2026-01-09,0.18005326
1.0182366,37.854168,23.458334,2026-01-10,0.17060912
1.0182366,37.854168,23.458334,2026-01-11,0.16353919
1.0182366,37.854168,23.458334,2026-01-12,0.17984636
1.0182366,37.854168,23.458334,2026-01-13,0.19438207
1.0182366,37.854168,23.458334,2026-01-14,0.19035538
1.0182366,37.854168,23.458334,2026-01-15,0.18655638
1.0182366,37.854168,23.458334,2026-01-16,0.1821678
1.0182366,37.854168,23.458334,2026-01-17,0.17791454
1.0182366,37.854168,23.458334,2026-01-18,0.17402682
1.0182366,37.854168,23.458334,2026-01-19,0.16798308
1.0182366,37.854168,23.458334,2026-01-20,0.1630191
1.0182366,37.854168,23.458334,2026-01-21,0.15932766
1.0182366,37.854168,23.458334,2026-01-22,0.1548715
1.0182366,37.854168,23.458334,2026-01-23,0.14990145
1.0182366,37.854168,23.458334,2026-01-24,0.14513211
1.0182366,37.854168,23.458334,2026-01-25,0.14104487
1.0182366,37.854168,23.458334,2026-01-26,0.13772868
1.0182366,37.854168,23.458334,2026-01-27,0.13592339
1.0182366,37.854168,23.458334,2026-01-28,0.13600086
1.0182366,37.854168,23.458334,2026-01-29,0.13613126
1.0182366,37.854168,23.458334,2026-01-30,0.136201
1.0182366,37.854168,23.5,2025-12-31,0.1958456
1.0182366,37.854168,23.5,2026-01-01,0.18847616
1.0182366,37.854168,23.5,2026-01-02,0.18166016
1.0182366,37.854168,23.5,2026-01-03,0.17660023
1.0182366,37.854168,23.5,2026-01-04,0.17240818
1.0182366,37.854168,23.5,2026-01-05,0.1935451
1.0182366,37.854168,23.5,2026-01-06,0.20833518
1.0182366,37.854168,23.5,2026-01-07,0.20191649
1.0182366,37.854168,23.5,2026-01-08,0.1969244
1.0182366,37.854168,23.5,2026-01-09,0.18605028
